Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
4/20/09 11:57,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,45-54 Female  on Treatment for 5 to less than 10 years (Patient),2
4/20/09 9:07,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,45-54 Female  on Treatment for 6 months to less than 1 year (Patient),5
5/1/09 8:10,"racing heart, panicking breathing,tired",Type 2 Diabetes Mellitus,metformin oral,2,3,2,"bob g, 55-64 Male  on Treatment for less than 1 month (Patient)",3
4/26/09 11:07,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"ken, 55-64 Male  on Treatment for 1 to 6 months (Patient)",3
4/25/09 17:47,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,55-64 Female  on Treatment for less than 1 month (Patient),1
4/24/09 15:47,,Type 2 Diabetes Mellitus,metformin oral,3,3,2,"salty , 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",3
4/23/09 12:33,,Type 2 Diabetes Mellitus,metformin oral,4,5,0,"Glenna, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",5
5/7/09 13:53,Stomach Nausea after taking 1000mg twice daily,Type 2 Diabetes Mellitus,metformin oral,3,2,5,"bpmw, 65-74 Male  on Treatment for less than 1 month (Patient)",1
5/6/09 21:13,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,55-64 Male  on Treatment for 1 to 6 months (Patient),4
5/3/09 5:17,,Type 2 Diabetes Mellitus,metformin oral,5,1,2,45-54 Female  on Treatment for less than 1 month,3
5/2/09 17:52,,Type 2 Diabetes Mellitus,metformin oral,3,3,9,"Obie, 45-54 Female  on Treatment for 1 to 6 months (Patient)",3
5/1/09 8:33,,Type 2 Diabetes Mellitus,metformin oral,5,4,3,"sak9304, 25-34 Female  on Treatment for 1 to 6 months (Patient)",4
5/18/09 16:40,"The doctor started me on this cause im pre-diabetic.I was told that i will be on this medication for the rest of my life.. He started me on 500mg twice a day which was to much for me so i'm on it once a day. The nausesa part of it is something that i hope will go away. The diarrhea
side effect is the major one but i also suffer from ibs so i think the ibs medication is helping to slow every t
					...
					",Type 2 Diabetes Mellitus,metformin oral,4,4,7,"martine, 25-34 Female  on Treatment for less than 1 month (Patient)",3
5/16/09 8:46,,Type 2 Diabetes Mellitus,metformin oral,4,3,2,55-64 Male  on Treatment for 1 to 6 months (Patient),4
5/12/09 13:34,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,45-54 Male  on Treatment for less than 1 month (Patient),3
5/11/09 9:26,,Type 2 Diabetes Mellitus,metformin oral,4,1,3,"edwardo, 65-74 Male  on Treatment for less than 1 month (Patient)",1
5/9/09 11:06,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,75 or over Male  on Treatment for 1 to 6 months (Patient),4
5/22/09 2:58,"lately i have been experiencing itchy feet and swollen feet, can someone please let me know if they have experienced this.",Type 2 Diabetes Mellitus,metformin oral,5,4,4,"kingsvalleyfirstlady, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",2
5/21/09 14:05,,Type 2 Diabetes Mellitus,metformin oral,4,4,2,"norcoa, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",4
5/21/09 12:56,,Type 2 Diabetes Mellitus,metformin oral,3,1,2,"FSH4DENCALIF, 55-64 Male  on Treatment for less than 1 month (Patient)",1
5/21/09 10:33,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,"lou39,  Female  on Treatment for 5 to less than 10 years (Patient)",5
5/20/09 13:31,,Type 2 Diabetes Mellitus,metformin oral,3,3,3,45-54 on Treatment for 2 to less than 5 years (Patient),2
5/26/09 20:54,Have seen my number`s go down and stay down,Type 2 Diabetes Mellitus,metformin oral,4,4,1,"crh, 45-54 Male  on Treatment for less than 1 month (Patient)",4
5/26/09 20:17,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,45-54 Female  on Treatment for 2 to less than 5 years (Patient),5
5/25/09 20:41,,Type 2 Diabetes Mellitus,metformin oral,5,3,3,"Suffocated to Her Death, 75 or over Female  on Treatment for 5 to less than 10 years (Caregiver)",1
5/24/09 19:52,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,on Treatment for 2 to less than 5 years,5
5/23/09 16:53,,Type 2 Diabetes Mellitus,metformin oral,5,2,8,55-64 Female  on Treatment for 1 to 6 months (Patient),1
6/1/09 16:00,I have been on this metformin 500 twice a day for two weeks. Big diet adjustment. Glucose went from 140 to 80. I'm handling the diarrhea with immodium. The nausea I hope will go away.,Type 2 Diabetes Mellitus,metformin oral,4,4,8,45-54 Female  on Treatment for less than 1 month (Patient),3
5/30/09 12:41,,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"ave55u, 75 or over Female  on Treatment for 1 to 6 months (Patient)",5
5/28/09 16:46,,Type 2 Diabetes Mellitus,metformin oral,5,3,8,"amy, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient)",3
5/28/09 10:21,,Type 2 Diabetes Mellitus,metformin oral,5,1,1,55-64 Female  on Treatment for less than 1 month (Patient),1
5/27/09 11:18,,Type 2 Diabetes Mellitus,metformin oral,5,4,1,"Tex, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",3
6/6/09 0:12,,Type 2 Diabetes Mellitus,metformin oral,2,2,0,45-54 Female  on Treatment for 1 to 6 months (Patient),1
6/5/09 16:40,,Type 2 Diabetes Mellitus,metformin oral,4,1,2,"Rev. Nelson, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient)",1
6/5/09 12:53,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,,5
6/5/09 10:52,,Type 2 Diabetes Mellitus,metformin oral,5,4,1,55-64 Female  (Caregiver),4
6/3/09 2:38,,Type 2 Diabetes Mellitus,metformin oral,5,5,2,19-24 Female  on Treatment for less than 1 month (Patient),4
6/10/09 12:42,"Like posion, so sick. Fine at frist then got sicker and sicker. ",Type 2 Diabetes Mellitus,metformin oral,5,1,1,"agrenke, 55-64 Female  on Treatment for less than 1 month (Patient)",1
6/10/09 9:51,,Type 2 Diabetes Mellitus,metformin oral,4,4,2,65-74 Male  on Treatment for 2 to less than 5 years (Patient),4
6/9/09 12:18,,Type 2 Diabetes Mellitus,metformin oral,2,3,1,55-64 Female  on Treatment for 5 to less than 10 years (Patient),3
6/6/09 14:21,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,"djl, 45-54 Female  on Treatment for less than 1 month (Patient)",3
6/6/09 12:45,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,"merf98, 65-74 Male  on Treatment for 1 to 6 months (Patient)",5
6/14/09 0:22,borderline not on insulin some side effects sick to it they get easier.,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"sunvalleyrose, 55-64 Female  on Treatment for 6 months to less than 1 year",5
6/13/09 6:16,,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"juanita, 45-54 Female  on Treatment for less than 1 month (Patient)",5
6/12/09 21:13,,Type 2 Diabetes Mellitus,metformin oral,4,3,1,55-64 Male  on Treatment for 2 to less than 5 years (Patient),1
6/12/09 15:25,,Type 2 Diabetes Mellitus,metformin oral,5,2,9,45-54 Female  on Treatment for 1 to 6 months (Patient),1
6/12/09 3:37,,Type 2 Diabetes Mellitus,metformin oral,4,3,5,55-64 Female  on Treatment for less than 1 month (Patient),3
6/17/09 15:24,gives you flatulence,Type 2 Diabetes Mellitus,metformin oral,5,3,4,"valerie, 45-54 Female  on Treatment for 10 years or more (Patient)",4
6/15/09 17:27,,Type 2 Diabetes Mellitus,metformin oral,4,3,2,"bob, 65-74 Male  on Treatment for 10 years or more (Patient)",2
6/15/09 14:19,,Type 2 Diabetes Mellitus,metformin oral,5,3,9,"don&#39;t have one, 65-74 Female  on Treatment for less than 1 month (Patient)",4
6/15/09 11:18,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,75 or over Female  (Patient),4
6/15/09 0:04,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,"nenebogie, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",5
6/23/09 1:45,can one of the side effects be itching......,Type 2 Diabetes Mellitus,metformin oral,1,1,5,"arlene, 55-64 Female  on Treatment for less than 1 month",1
6/22/09 13:05,,Type 2 Diabetes Mellitus,metformin oral,5,4,1,35-44 Female  on Treatment for 1 to 6 months (Patient),4
6/22/09 12:56,,Type 2 Diabetes Mellitus,metformin oral,5,4,4,"NobodyHome, 35-44 Male  on Treatment for 2 to less than 5 years (Patient)",4
6/21/09 17:34,,Type 2 Diabetes Mellitus,metformin oral,5,5,5,45-54 on Treatment for 1 to 6 months (Patient),5
6/18/09 0:01,,Type 2 Diabetes Mellitus,metformin oral,2,3,1,55-64 Female  on Treatment for 5 to less than 10 years (Patient),2
6/30/09 22:00,i found out i have diabetes and it has helped control my sugar w/the proper diet ,Type 2 Diabetes Mellitus,metformin oral,3,5,1,25-34 Male  on Treatment for 1 to 6 months (Patient),4
6/30/09 14:58,,Type 2 Diabetes Mellitus,metformin oral,3,1,7,45-54 Female  on Treatment for 5 to less than 10 years (Patient),2
6/27/09 11:47,,Type 2 Diabetes Mellitus,metformin oral,3,3,4,"images2646, 55-64 Female  on Treatment for less than 1 month (Patient)",3
6/25/09 21:28,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,35-44 Male  on Treatment for less than 1 month (Patient),5
6/24/09 14:20,,Type 2 Diabetes Mellitus,metformin oral,3,3,4,"ccmm57, 45-54 Female  on Treatment for 5 to less than 10 years (Patient)",3
7/4/09 19:20,"Have been on Metformin 31/2 months.  Feel tired and sleepy all day.  tightness in chest, constant burping. upset stomach.  I just stopped taking them, it is not worth the discomfort.",Type 2 Diabetes Mellitus,metformin oral,5,2,1,"Sasha, 65-74 Female  on Treatment for 1 to 6 months (Patient)",1
7/2/09 22:12,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,"cc, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",4
7/2/09 20:47,,Type 2 Diabetes Mellitus,metformin oral,5,4,2,55-64 Male  on Treatment for 1 to 6 months (Patient),4
7/2/09 0:39,,Type 2 Diabetes Mellitus,metformin oral,1,1,9,45-54 Male  on Treatment for 6 months to less than 1 year (Patient),1
7/1/09 13:44,,Type 2 Diabetes Mellitus,metformin oral,5,5,1,25-34 Female  on Treatment for 1 to 6 months (Patient),5
7/11/09 16:30,"this medication gave me horrible stomach upset and diarhea, so tired i couldnt stay at work, so dizzy i almost passed out, couldnt tolerate it long enough to see if it would bring down my numbers. side effects not worth it, felt like i was drugged or in a dream, awaiting my next doc apt",Type 2 Diabetes Mellitus,metformin oral,5,1,1,"cheryllynn, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient)",1
7/9/09 19:17,,Type 2 Diabetes Mellitus,metformin oral,4,4,6,55-64 Female  on Treatment for 1 to less than 2 years (Patient),3
7/8/09 8:58,,Type 2 Diabetes Mellitus,metformin oral,1,1,5,"swtpl, 55-64 Female  on Treatment for 1 to less than 2 years",1
7/6/09 14:51,,Type 2 Diabetes Mellitus,metformin oral,4,4,0,65-74 Male  on Treatment for 2 to less than 5 years (Patient),4
7/5/09 6:04,,Type 2 Diabetes Mellitus,metformin oral,4,3,1,"LuAnn5657, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",2
7/15/09 19:49,gives me sevear diarea,Type 2 Diabetes Mellitus,metformin oral,4,1,1,"webmd, 55-64 on Treatment for 2 to less than 5 years (Patient)",1
7/15/09 19:36,,Type 2 Diabetes Mellitus,metformin oral,3,1,5,"bunny, 75 or over Female  on Treatment for less than 1 month (Patient)",1
7/15/09 8:19,,Type 2 Diabetes Mellitus,metformin oral,3,3,8,55-64 Female  on Treatment for 1 to 6 months (Patient),3
7/14/09 13:35,,Type 2 Diabetes Mellitus,metformin oral,3,3,7,"Alex, 65-74 Male  on Treatment for 1 to less than 2 years (Patient)",1
7/14/09 0:46,,Type 2 Diabetes Mellitus,metformin oral,5,3,2,"kejtag, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",3
7/19/09 22:27,"used it for 1 month, metalic taste for food and drink. severe stomach cramps, diarehia, vomiting, aweful experiance.",Type 2 Diabetes Mellitus,metformin oral,3,2,8,"AD, 55-64 Male  (Patient)",1
7/18/09 23:26,,Type 2 Diabetes Mellitus,metformin oral,1,1,6,45-54 Male  on Treatment for less than 1 month (Patient),1
7/18/09 15:59,,Type 2 Diabetes Mellitus,metformin oral,4,4,1,"RoyG, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",4
7/16/09 21:38,,Type 2 Diabetes Mellitus,metformin oral,3,1,0,"tsolis, 35-44 Female  on Treatment for 5 to less than 10 years (Patient)",3
7/16/09 21:31,,Type 2 Diabetes Mellitus,metformin oral,4,2,1,"terrijlf, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
7/31/09 14:46,"I have start taking & I was sugar was 305 and it's come down to 130,  I have a blur is this nornal.  I've heard is durg helps with weight lost, is the true?",Type 2 Diabetes Mellitus,metformin oral,4,5,7,"Ramlynrose, 45-54 Female  on Treatment for less than 1 month (Patient)",4
7/29/09 16:30,,Type 2 Diabetes Mellitus,metformin oral,4,3,3,55-64 Female  on Treatment for 6 months to less than 1 year (Patient),3
7/28/09 1:12,,Type 2 Diabetes Mellitus,metformin oral,5,1,2,"kittenew47, 55-64 Female  on Treatment for 1 to 6 months (Patient)",3
7/26/09 11:03,,Type 2 Diabetes Mellitus,metformin oral,4,4,7,"chrissy1963, 45-54 Female  on Treatment for less than 1 month (Patient)",3
7/21/09 7:38,,Type 2 Diabetes Mellitus,metformin oral,3,3,1,65-74 Female  on Treatment for 2 to less than 5 years (Patient),3
8/5/09 6:36,"IT WOPRK,S FOR ME VERY WELL",Type 2 Diabetes Mellitus,metformin oral,5,5,1,"JOHNWANYNE, 45-54 Male  on Treatment for 1 to less than 2 years (Patient)",5
8/3/09 21:22,,Type 2 Diabetes Mellitus,metformin oral,5,4,3,25-34 Male  on Treatment for 1 to 6 months (Patient),3
8/3/09 15:11,,Type 2 Diabetes Mellitus,metformin oral,3,4,4,,3
8/3/09 9:05,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,,3
8/2/09 19:55,,Type 2 Diabetes Mellitus,metformin oral,1,4,6,"txchris93, 35-44 Female  on Treatment for less than 1 month (Patient)",1
8/13/09 12:35,"i take 1000mg twice daily, sometimes i get tired.everything seems statis quo. ",Type 2 Diabetes Mellitus,metformin oral,3,3,4,"cherraski, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",3
8/12/09 23:15,,Type 2 Diabetes Mellitus,metformin oral,5,2,1,"Ladybug, 55-64 Female  (Patient)",1
8/12/09 8:40,,Type 2 Diabetes Mellitus,metformin oral,5,2,1,"tischbaby1, 75 or over Female  on Treatment for less than 1 month (Patient)",1
8/8/09 10:25,,Type 2 Diabetes Mellitus,metformin oral,2,2,0,"dabb, 75 or over on Treatment for 2 to less than 5 years (Patient)",2
8/8/09 6:15,,Type 2 Diabetes Mellitus,metformin oral,5,3,3,"toni, 45-54 Female  on Treatment for 1 to less than 2 years (Patient)",4
8/16/09 19:32,"unusual tiredness severe drowsiness stomach up set, diarrhea",Type 2 Diabetes Mellitus,metformin oral,1,1,1,"morey, 75 or over Male  on Treatment for 1 to 6 months (Patient)",1
8/16/09 16:10,,Type 2 Diabetes Mellitus,metformin oral,5,1,1,45-54 Female  on Treatment for less than 1 month (Patient),1
8/16/09 2:04,,Type 2 Diabetes Mellitus,metformin oral,2,2,6,"Nanakins, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",1
8/14/09 7:58,,Type 2 Diabetes Mellitus,metformin oral,3,2,2,"Sukieyakkie, 55-64 Female  (Patient)",1
8/13/09 20:51,,Type 2 Diabetes Mellitus,metformin oral,3,1,9,"mfarr428, 45-54 Male  on Treatment for 1 to 6 months (Patient)",1
8/26/09 12:05,nausea and severe diarrhea,Type 2 Diabetes Mellitus,metformin oral,5,3,1,65-74 Male  on Treatment for 2 to less than 5 years (Patient),1
8/21/09 21:48,,Type 2 Diabetes Mellitus,metformin oral,5,5,1,"muma3856, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",2
8/21/09 12:24,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"pattycake1948, 55-64 Female  on Treatment for 1 to less than 2 years (Patient)",1
8/19/09 14:16,,Type 2 Diabetes Mellitus,metformin oral,4,3,0,,4
8/17/09 14:50,,Type 2 Diabetes Mellitus,metformin oral,4,4,6,35-44 Male  on Treatment for 1 to 6 months (Patient),3
9/2/09 12:56,"Be careful when drinking with this medication. It may case low blood sugar levels. 
Dosages should be taken twice a day with meals. If you do not take with food you may also experience low blood sugar levels",Type 2 Diabetes Mellitus,metformin oral,5,4,3,45-54 Female  on Treatment for 2 to less than 5 years (Patient),4
8/30/09 14:43,,Type 2 Diabetes Mellitus,metformin oral,3,2,4,"jersey, 55-64 Male  on Treatment for less than 1 month (Patient)",3
8/29/09 9:10,,Type 2 Diabetes Mellitus,metformin oral,3,2,8,,3
8/28/09 12:14,,Type 2 Diabetes Mellitus,metformin oral,4,4,0,"pud_33, 55-64 Female  on Treatment for less than 1 month (Patient)",4
8/26/09 21:53,,Type 2 Diabetes Mellitus,metformin oral,5,5,1,"Tebbe Smith, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",5
9/5/09 17:24,"Good reactions -generally--
very responsive to diet choices\
perhapsdue to my inexperience in my diet choices ?",Type 2 Diabetes Mellitus,metformin oral,5,4,2,"bruno t, 75 or over Male  on Treatment for 6 months to less than 1 year (Patient)",4
9/5/09 8:02,,Type 2 Diabetes Mellitus,metformin oral,4,2,1,"kaye, 45-54 Female  on Treatment for less than 1 month (Patient)",3
9/4/09 20:20,,Type 2 Diabetes Mellitus,metformin oral,5,3,2,"prosteguy, 65-74 on Treatment for less than 1 month (Patient)",1
9/3/09 23:45,,Type 2 Diabetes Mellitus,metformin oral,4,3,1,"eliza757, 25-34 Female  on Treatment for 1 to 6 months (Patient)",4
9/2/09 18:13,,Type 2 Diabetes Mellitus,metformin oral,5,4,5,55-64 Female  on Treatment for 2 to less than 5 years (Patient),4
9/10/09 9:06,"I have been on this for over 2 years and hade been doing well, but my md increased my dosage to 1000 mg daily.  I take 2 pills at bedtime, but wake about 5 hours later with pretty strong stomach pains.  Has anyone else had this issue?",Type 2 Diabetes Mellitus,metformin oral,3,4,1,"sodgoddess179, 35-44 Female  on Treatment for 10 years or more (Patient)",3
9/8/09 15:03,,Type 2 Diabetes Mellitus,metformin oral,4,5,9,"rosebud, 25-34 Female  on Treatment for less than 1 month (Patient)",4
9/7/09 2:32,,Type 2 Diabetes Mellitus,metformin oral,5,2,3,,2
9/6/09 10:08,,Type 2 Diabetes Mellitus,metformin oral,3,3,7,"trish, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
9/5/09 17:41,,Type 2 Diabetes Mellitus,metformin oral,4,3,7,25-34 Female  on Treatment for 1 to 6 months (Patient),3
9/11/09 21:13,"I don't seem to feel any effect. I think?
Really hasn't changed glucos levels much, bounces up & down...",Type 2 Diabetes Mellitus,metformin oral,4,2,3,"Cue, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",3
9/11/09 19:50,,Type 2 Diabetes Mellitus,metformin oral,3,1,1,"Not happy, 35-44 Female  on Treatment for less than 1 month (Patient)",1
9/11/09 18:46,,Type 2 Diabetes Mellitus,metformin oral,4,2,6,"NETTY22, 65-74 Female  on Treatment for less than 1 month (Patient)",1
9/11/09 15:46,,Type 2 Diabetes Mellitus,metformin oral,3,3,9,"TedInJax, 65-74 Male  on Treatment for 1 to 6 months (Patient)",1
9/11/09 0:36,,Type 2 Diabetes Mellitus,metformin oral,3,3,1,"sandra314, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
9/14/09 16:01,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,"eleankaywo, 75 or over Female  on Treatment for 2 to less than 5 years (Patient)",1
9/14/09 14:36,,Type 2 Diabetes Mellitus,metformin oral,5,3,0,55-64 Male  on Treatment for 2 to less than 5 years (Patient),3
9/14/09 2:39,,Type 2 Diabetes Mellitus,metformin oral,3,3,1,"Tony, 55-64 Male  on Treatment for 1 to less than 2 years (Patient)",1
9/13/09 16:31,,Type 2 Diabetes Mellitus,metformin oral,3,5,1,"marie, 55-64 Female  on Treatment for 6 months to less than 1 year (Patient)",3
9/12/09 13:58,,Type 2 Diabetes Mellitus,metformin oral,2,3,6,"tenaru, 35-44 Female  on Treatment for less than 1 month (Patient)",3
9/21/09 10:31,"don't like the side effects of bloating, diareha, and gas",Type 2 Diabetes Mellitus,metformin oral,5,3,1,45-54 Male  on Treatment for 2 to less than 5 years (Patient),3
9/20/09 10:09,,Type 2 Diabetes Mellitus,metformin oral,4,4,5,"Sadie,  on Treatment for 2 to less than 5 years (Patient)",1
9/19/09 23:53,,Type 2 Diabetes Mellitus,metformin oral,5,4,9,"patcare, 65-74 Male  on Treatment for 1 to 6 months (Patient)",5
9/17/09 11:28,,Type 2 Diabetes Mellitus,metformin oral,5,2,1,"ladyrhi, 35-44 Female  on Treatment for 5 to less than 10 years (Patient)",4
9/15/09 21:02,,Type 2 Diabetes Mellitus,metformin oral,1,4,2,"Sheri, 35-44 Female  on Treatment for 1 to less than 2 years (Patient)",1
9/25/09 13:02,,Type 2 Diabetes Mellitus,metformin oral,5,4,0,"nanee, 55-64 on Treatment for 2 to less than 5 years (Patient)",5
9/24/09 18:53,,Type 2 Diabetes Mellitus,metformin oral,5,5,1,,5
9/24/09 10:30,,Type 2 Diabetes Mellitus,metformin oral,4,4,0,65-74 Male  on Treatment for 2 to less than 5 years (Patient),4
9/24/09 3:58,,Type 2 Diabetes Mellitus,metformin oral,4,2,5,"bramaw, 55-64 Female  on Treatment for 1 to 6 months (Patient)",1
9/22/09 0:10,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"mlundgren49, 35-44 Male  on Treatment for 1 to 6 months (Patient)",4
10/3/09 6:49,"have a hard time with large pills 
due get cold and clammy skin for no reason.  My nose gets expeciallly cold  won't know results until I have a blood test in a couple of months",Type 2 Diabetes Mellitus,metformin oral,3,2,1,"charlie, 55-64 Female  on Treatment for 1 to 6 months (Patient)",3
9/28/09 7:48,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,,3
9/28/09 2:55,,Type 2 Diabetes Mellitus,metformin oral,4,4,1,"Daisylou, 45-54 Female  on Treatment for 5 to less than 10 years (Patient)",3
9/26/09 16:41,,Type 2 Diabetes Mellitus,metformin oral,5,2,8,65-74 Female  on Treatment for 1 to 6 months (Patient),2
9/26/09 9:31,,Type 2 Diabetes Mellitus,metformin oral,4,4,0,,4
10/11/09 9:13,,Type 2 Diabetes Mellitus,metformin oral,4,4,0,55-64 Female  on Treatment for 5 to less than 10 years (Patient),4
10/7/09 14:08,,Type 2 Diabetes Mellitus,metformin oral,5,1,4,"jackie, 55-64 on Treatment for 5 to less than 10 years (Patient)",1
10/6/09 14:36,,Type 2 Diabetes Mellitus,metformin oral,5,2,7,55-64 on Treatment for 2 to less than 5 years (Patient),1
10/5/09 14:55,,Type 2 Diabetes Mellitus,metformin oral,4,3,1,"beetoo, 35-44 Female  on Treatment for 5 to less than 10 years (Patient)",2
10/3/09 17:31,,Type 2 Diabetes Mellitus,metformin oral,3,3,1,75 or over Male  on Treatment for 5 to less than 10 years (Patient),2
10/13/09 22:34,,Type 2 Diabetes Mellitus,metformin oral,1,1,1,65-74 Male  on Treatment for 10 years or more (Patient),1
10/12/09 13:18,,Type 2 Diabetes Mellitus,metformin oral,4,4,1,,2
10/12/09 0:36,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,"jfgonza73, 65-74 Male  on Treatment for 5 to less than 10 years (Patient)",5
10/11/09 20:17,,Type 2 Diabetes Mellitus,metformin oral,1,3,9,"rsh1030, 45-54 Female  on Treatment for less than 1 month (Patient)",1
10/11/09 12:18,,Type 2 Diabetes Mellitus,metformin oral,5,4,1,55-64 Male  on Treatment for less than 1 month (Patient),4
10/27/09 11:28,"I was taking 850mg x2 a day and now I am taking 1000x2 a day. I have notice I get a headache, my stomach start to grumble. I also take Enalapril 20mg x2 for blood pressure. As for the lady mentioning the yeast infection. It seems like one wants to start and then the systems go away as fast as the came which is wierd. I am sitting here with a pretty good headache. I have only been using this dosage
					...
					",Type 2 Diabetes Mellitus,metformin oral,5,3,7,"paminu, 45-54 Female  (Patient)",3
10/27/09 1:46,,Type 2 Diabetes Mellitus,metformin oral,5,5,5,"lsvsev, 55-64 Female  on Treatment for 2 to less than 5 years (Patient)",5
10/20/09 17:20,,Type 2 Diabetes Mellitus,metformin oral,2,2,1,,1
10/19/09 14:47,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"sjonesbless08, 45-54 Female  on Treatment for 2 to less than 5 years (Patient)",3
10/19/09 11:20,,Type 2 Diabetes Mellitus,metformin oral,5,5,1,45-54 Female  on Treatment for 1 to 6 months (Patient),3
11/3/09 22:44,"I hate this drug. I started on 500mg and now take 2000mg. A1c went from 7.5 to 10.5 and i have gained 90+ lbs in 3 years. But my MD swears I will lose weight on it. The sometimes uncontrollable diarrhea. The stomach cramps that leave me in the fetal position in bed unable to move sometimes for an hour or more. 2 months ago MD added Actos gained 12lbs in 7 weeks. Last week I saw a colleague of his 
					...
					",Type 2 Diabetes Mellitus,metformin oral,1,1,1,"searching for relief, 35-44 Male  on Treatment for 2 to less than 5 years (Patient)",1
11/3/09 19:27,,Type 2 Diabetes Mellitus,metformin oral,5,3,2,"metformin, 55-64 Male  on Treatment for 2 to less than 5 years (Patient)",1
11/3/09 9:32,,Type 2 Diabetes Mellitus,metformin oral,5,5,5,"Joy Meadows, 55-64 on Treatment for 10 years or more (Patient)",5
11/2/09 7:10,,Type 2 Diabetes Mellitus,metformin oral,5,5,2,"gpqyk4, 55-64 on Treatment for 2 to less than 5 years (Patient)",5
10/29/09 16:05,,Type 2 Diabetes Mellitus,metformin oral,3,3,0,55-64 Male  on Treatment for 10 years or more (Patient),3
11/12/09 19:27,,Type 2 Diabetes Mellitus,metformin oral,3,3,0,"barbiedoll, 65-74 Female  on Treatment for 1 to 6 months (Patient)",2
11/11/09 19:31,,Type 2 Diabetes Mellitus,metformin oral,5,2,0,"jerry, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",2
11/11/09 11:30,,Type 2 Diabetes Mellitus,metformin oral,5,5,0,45-54 Female  on Treatment for less than 1 month (Patient),5
11/8/09 21:02,,Type 2 Diabetes Mellitus,metformin oral,5,1,1,"Professor, 65-74 Male  on Treatment for less than 1 month (Patient)",5
11/7/09 20:28,,Type 2 Diabetes Mellitus,metformin oral,4,3,0,75 or over Male  on Treatment for 1 to 6 months (Patient),3
11/19/09 23:53,This medication has kept my sugar level under control. ,Type 2 Diabetes Mellitus,metformin oral,5,5,4,45-54 Female  on Treatment for 6 months to less than 1 year (Patient),5
11/19/09 13:51,,Type 2 Diabetes Mellitus,metformin oral,1,1,1,45-54 Female  on Treatment for 2 to less than 5 years (Patient),1
11/18/09 13:03,,Type 2 Diabetes Mellitus,metformin oral,4,2,1,"julie, 45-54 Female  on Treatment for less than 1 month (Patient)",1
11/18/09 1:35,,Type 2 Diabetes Mellitus,metformin oral,1,1,1,45-54 Female  on Treatment for 2 to less than 5 years (Patient),1
11/13/09 17:44,,Type 2 Diabetes Mellitus,metformin oral,5,3,1,"metformin HCL, 55-64 Male  on Treatment for 5 to less than 10 years (Patient)",4
12/4/09 12:21,causes diarrhea,Type 2 Diabetes Mellitus,metformin oral,1,4,1,"lilma, 65-74 Female  on Treatment for 2 to less than 5 years (Patient)",1
12/4/09 10:30,,Type 2 Diabetes Mellitus,metformin oral,2,2,8,"eileen, 55-64 Female  on Treatment for 1 to less than 2 years",1
